latitude,longitude,desc,events,count
51.752155,-1.258214,Oxford,"['TEDxSkoll', 'TED Senior Fellows at TEDGlobal 2010', 'TEDGlobal 2010', 'TEDGlobal 2009', 'TEDGlobal 2005']",5
51.842739,5.8634699999999995,Nijmegen,['TEDxNijmegen'],1
51.922896,4.463173,Rotterdam,['TEDxRotterdam 2010'],1
52.011402000000004,4.35839,Delft,['TEDxDelft'],1
52.095942,5.110414,Utrecht,['TEDxHogeschoolUtrecht'],1
52.371009,4.900112,Amsterdam,['TEDxAmsterdam'],1
52.408106,-1.510456,Coventry,['TEDxWarwick'],1
52.517037,13.388860000000001,Berlin,"['TED@BCG Berlin', 'TEDSalon Berlin 2014', 'TEDxBerlin']",3
52.587894999999996,0.381641,Denver,['TEDxDU 2011'],1
53.219065,6.568008,Groningen,['TEDxGroningen'],1
53.260664,-2.125516,Macclesfield,['TEDxYouth@Manchester'],1
53.349306999999996,-6.261175,Dublin,"['TEDxFulbrightDublin', 'TEDxDublin']",2
53.479147,-2.244745,Manchester,['TEDxManchester'],1
53.546135,-113.49121299999999,Edmonton,['TEDxEdmonton'],1
53.550341,10.000653999999999,Hamburg,['TEDxHamburg'],1
55.861146999999995,-4.249989,Glasgow,['TEDxGlasgow'],1
55.94834,-3.1932720000000003,Edinburgh,"['TEDGlobal 2013', 'TEDGlobal 2012', 'TEDGlobal 2011']",3
56.878718000000006,14.809439000000001,Växjö,['TEDxLinnaeusUniversity'],1
57.70640699999999,11.968629,Gothenburg,['TEDxGöteborg 2010'],1
58.460278,8.766667,Arendal,['TEDxArendal'],1
58.590913,16.190348,Norrköping,['TEDxNorrkoping'],1
59.91326899999999,10.739111,Oslo,['TEDxOslo'],1
