source	target
78	761
78	934
78	947
78	959
78	1675
71	199
71	920
71	1065
199	81
199	161
199	243
199	372
199	426
199	691
199	922
72	303
72	152
72	165
72	332
72	382
72	400
72	527
72	714
72	933
72	1562
72	1891
303	145
303	165
303	369
303	527
152	339
152	145
152	187
152	219
152	415
73	90
73	80
73	244
73	316
73	344
73	371
73	409
73	997
73	1678
90	305
90	409
90	663
90	1090
90	1677
80	243
80	164
80	357
80	468
80	498
80	786
80	985
80	1083
80	1681
80	1729
80	1824
74	305
74	192
74	364
305	113
305	514
305	1217
305	1858
75	231
75	147
75	454
75	1050
231	77
231	104
231	177
231	198
231	247
231	332
231	400
231	454
231	524
76	134
76	93
76	94
134	102
134	135
134	449
134	499
134	517
93	94
93	87
77	332
77	104
77	408
77	1976
332	483
332	643
332	1021
140	123
140	232
140	226
140	254
140	267
140	271
140	1789
232	226
232	271
232	442
232	1322
232	1390
79	952
79	1073
79	1642
79	1994
243	163
243	151
243	254
243	300
243	658
243	1912
164	224
164	357
164	430
164	544
164	723
164	1563
81	274
81	1461
274	144
274	266
274	283
274	490
274	1003
82	212
82	310
82	493
82	1244
85	107
85	176
85	290
275	292
275	462
275	573
275	662
275	759
275	931
275	1088
107	176
107	586
107	1193
107	1848
86	193
86	102
102	222
102	252
102	664
87	100
87	94
100	257
100	115
100	190
100	459
100	660
100	680
100	769
88	119
88	106
88	235
88	405
88	406
88	436
88	751
88	976
88	1095
88	1551
119	235
119	304
119	472
119	644
119	751
119	768
106	154
106	207
106	270
106	297
106	1674
89	246
89	216
89	115
89	190
89	310
89	402
89	537
89	648
89	841
89	897
89	962
89	990
89	1077
89	1118
89	2074
89	2243
246	216
246	279
246	386
246	540
246	625
246	868
246	1032
216	279
216	378
216	907
91	101
91	184
101	901
101	925
101	1507
101	1705
92	1995
92	97
92	98
92	675
92	1272
92	1395
1995	1425
1995	1499
95	204
95	260
95	1614
204	112
204	304
204	525
204	869
260	157
97	568
98	249
98	962
257	248
257	278
901	1162
901	1283
901	1459
901	1469
901	1487
901	1507
901	2004
103	105
103	114
103	559
103	719
103	987
103	1029
103	1601
103	2336
105	338
105	350
105	486
105	528
104	361
104	369
104	496
104	1233
154	207
154	270
154	345
154	436
154	489
154	516
154	583
154	938
154	1994
207	270
207	427
